"Index","rank1","rank2","rank3","rank4"
"VI69","MARDI SIFUENTES","AMBER RASMUSSEN","KRISTAL C. PRICE","NEF PACHECO"
"VI70","KRISTAL C. PRICE","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN"
"VI71","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","skipped"
"VI72","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI73","KRISTAL C. PRICE","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN"
"VI74","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI75","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI76","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI77","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","uwi"
"VI78","MARDI SIFUENTES","uwi","NEF PACHECO","AMBER RASMUSSEN"
"VI79","NEF PACHECO","MARDI SIFUENTES","AMBER RASMUSSEN","uwi"
"VI80","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI81","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI82","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI83","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI84","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","uwi"
"VI85","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","KRISTAL C. PRICE"
"VI86","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI87","MARDI SIFUENTES","AMBER RASMUSSEN","uwi","NEF PACHECO"
"VI88","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI89","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI90","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI91","MARDI SIFUENTES","AMBER RASMUSSEN","skipped","skipped"
"VI92","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI93","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","skipped"
"VI94","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","uwi"
"VI95","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI96","skipped","skipped","skipped","skipped"
"VI97","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI98","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI99","AMBER RASMUSSEN","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO"
"VI100","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI101","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI102","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI103","MARDI SIFUENTES","uwi","AMBER RASMUSSEN","NEF PACHECO"
"VI104","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI105","NEF PACHECO","AMBER RASMUSSEN","MARDI SIFUENTES","KRISTAL C. PRICE"
"VI106","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","skipped"
"VI107","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI108","MARDI SIFUENTES","AMBER RASMUSSEN","skipped","skipped"
"VI109","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","uwi"
"VI110","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI111","KRISTAL C. PRICE","MARDI SIFUENTES","skipped","skipped"
"VI112","MARDI SIFUENTES","NEF PACHECO","KRISTAL C. PRICE","AMBER RASMUSSEN"
"VI113","MARDI SIFUENTES","AMBER RASMUSSEN","KRISTAL C. PRICE","NEF PACHECO"
"VI114","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI115","KRISTAL C. PRICE","MARDI SIFUENTES","skipped","skipped"
"VI116","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI117","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI118","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI119","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI120","uwi","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI121","skipped","skipped","skipped","skipped"
"VI122","MARDI SIFUENTES","AMBER RASMUSSEN","KRISTAL C. PRICE","NEF PACHECO"
"VI123","NEF PACHECO","MARDI SIFUENTES","AMBER RASMUSSEN","KRISTAL C. PRICE"
"VI124","MARDI SIFUENTES","AMBER RASMUSSEN","KRISTAL C. PRICE","NEF PACHECO"
"VI125","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI126","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","KRISTAL C. PRICE"
"VI127","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI128","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI129","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI130","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI131","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","uwi"
"VI132","MARDI SIFUENTES","NEF PACHECO","skipped","AMBER RASMUSSEN"
"VI133","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI134","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI135","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","uwi"
"VI136","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI137","NEF PACHECO","AMBER RASMUSSEN","skipped","skipped"
"VI138","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI139","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","KRISTAL C. PRICE"
"VI140","uwi","skipped","skipped","skipped"
"VI141","NEF PACHECO","AMBER RASMUSSEN","MARDI SIFUENTES","skipped"
"VI142","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI143","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI144","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI145","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI146","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI147","MARDI SIFUENTES","skipped","skipped","skipped"
"VI148","NEF PACHECO","AMBER RASMUSSEN","MARDI SIFUENTES","skipped"
"VI149","MARDI SIFUENTES","skipped","skipped","skipped"
"VI150","skipped","skipped","skipped","skipped"
"VI151","skipped","skipped","skipped","skipped"
"VI152","skipped","skipped","skipped","skipped"
"VI153","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI154","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","uwi"
"VI155","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN","MARDI SIFUENTES"
"VI156","MARDI SIFUENTES","skipped","skipped","skipped"
"VI157","KRISTAL C. PRICE","NEF PACHECO","MARDI SIFUENTES","AMBER RASMUSSEN"
"VI158","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI159","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI160","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI161","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","skipped"
"VI162","MARDI SIFUENTES","AMBER RASMUSSEN","KRISTAL C. PRICE","NEF PACHECO"
"VI163","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","uwi"
"VI164","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI165","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI166","KRISTAL C. PRICE","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO"
"VI167","MARDI SIFUENTES","AMBER RASMUSSEN","KRISTAL C. PRICE","NEF PACHECO"
"VI168","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI169","NEF PACHECO","MARDI SIFUENTES","AMBER RASMUSSEN","uwi"
"VI170","NEF PACHECO","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN"
"VI171","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","uwi"
"VI172","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","skipped"
"VI173","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI174","skipped","skipped","skipped","skipped"
"VI175","MARDI SIFUENTES","AMBER RASMUSSEN","KRISTAL C. PRICE","NEF PACHECO"
"VI176","skipped","skipped","skipped","skipped"
"VI177","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI178","NEF PACHECO","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN"
"VI179","NEF PACHECO","MARDI SIFUENTES","KRISTAL C. PRICE","skipped"
"VI180","NEF PACHECO","MARDI SIFUENTES","AMBER RASMUSSEN","KRISTAL C. PRICE"
"VI181","KRISTAL C. PRICE","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI182","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI183","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","uwi"
"VI184","skipped","skipped","skipped","skipped"
"VI185","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI186","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI187","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","uwi"
"VI188","MARDI SIFUENTES","skipped","skipped","skipped"
"VI189","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","skipped"
"VI190","MARDI SIFUENTES","NEF PACHECO","uwi","AMBER RASMUSSEN"
"VI191","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI192","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","uwi"
"VI193","AMBER RASMUSSEN","skipped","skipped","skipped"
"VI194","MARDI SIFUENTES","AMBER RASMUSSEN","KRISTAL C. PRICE","NEF PACHECO"
"VI195","MARDI SIFUENTES","skipped","skipped","skipped"
"VI196","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES"
"VI197","KRISTAL C. PRICE","skipped","skipped","skipped"
"VI198","MARDI SIFUENTES","KRISTAL C. PRICE","skipped","skipped"
"VI199","AMBER RASMUSSEN","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO"
"VI200","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","skipped"
"VI201","MARDI SIFUENTES","NEF PACHECO","KRISTAL C. PRICE","skipped"
"VI202","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN","MARDI SIFUENTES"
"VI203","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","skipped"
"VI204","AMBER RASMUSSEN","MARDI SIFUENTES","uwi","NEF PACHECO"
"VI205","MARDI SIFUENTES","NEF PACHECO","KRISTAL C. PRICE","skipped"
"VI206","NEF PACHECO","MARDI SIFUENTES","AMBER RASMUSSEN","skipped"
"VI207","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI208","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI209","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI210","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI211","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI212","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI213","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI214","MARDI SIFUENTES","AMBER RASMUSSEN","KRISTAL C. PRICE","NEF PACHECO"
"VI215","MARDI SIFUENTES","AMBER RASMUSSEN","KRISTAL C. PRICE","NEF PACHECO"
"VI216","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI217","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI218","skipped","skipped","skipped","skipped"
"VI219","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI220","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","KRISTAL C. PRICE"
"VI221","NEF PACHECO","MARDI SIFUENTES","AMBER RASMUSSEN","uwi"
"VI222","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI223","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","uwi"
"VI224","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI225","NEF PACHECO","MARDI SIFUENTES","AMBER RASMUSSEN","skipped"
"VI226","MARDI SIFUENTES","AMBER RASMUSSEN","skipped","skipped"
"VI227","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI228","AMBER RASMUSSEN","uwi","skipped","skipped"
"VI229","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI230","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI231","KRISTAL C. PRICE","skipped","skipped","skipped"
"VI232","AMBER RASMUSSEN","uwi","skipped","skipped"
"VI233","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI234","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI235","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI236","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","uwi"
"VI237","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI238","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","skipped"
"VI239","AMBER RASMUSSEN","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO"
"VI240","MARDI SIFUENTES","skipped","skipped","skipped"
"VI241","MARDI SIFUENTES","skipped","skipped","skipped"
"VI242","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI243","KRISTAL C. PRICE","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN"
"VI244","KRISTAL C. PRICE","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN"
"VI245","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI246","KRISTAL C. PRICE","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN"
"VI247","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","KRISTAL C. PRICE"
"VI248","KRISTAL C. PRICE","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO"
"VI249","KRISTAL C. PRICE","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN"
"VI250","KRISTAL C. PRICE","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN"
"VI251","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI252","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI253","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","uwi"
"VI254","MARDI SIFUENTES","uwi","AMBER RASMUSSEN","NEF PACHECO"
"VI255","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI256","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI257","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","uwi"
"VI258","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI259","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","KRISTAL C. PRICE"
"VI260","skipped","skipped","skipped","skipped"
"VI261","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI262","NEF PACHECO","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN"
"VI263","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","uwi"
"VI264","KRISTAL C. PRICE","MARDI SIFUENTES","skipped","skipped"
"VI265","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI266","AMBER RASMUSSEN","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO"
"VI267","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","uwi"
"VI268","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI269","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI270","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","KRISTAL C. PRICE"
"VI271","MARDI SIFUENTES","NEF PACHECO","skipped","skipped"
"VI272","KRISTAL C. PRICE","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI273","MARDI SIFUENTES","AMBER RASMUSSEN","KRISTAL C. PRICE","NEF PACHECO"
"VI274","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","skipped"
"VI275","MARDI SIFUENTES","uwi","AMBER RASMUSSEN","NEF PACHECO"
"VI276","MARDI SIFUENTES","KRISTAL C. PRICE","skipped","skipped"
"VI277","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","skipped"
"VI278","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI279","KRISTAL C. PRICE","skipped","skipped","skipped"
"VI280","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI281","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI282","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO","skipped"
"VI283","MARDI SIFUENTES","NEF PACHECO","AMBER RASMUSSEN","skipped"
"VI284","AMBER RASMUSSEN","skipped","skipped","skipped"
"VI285","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI286","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI287","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI288","NEF PACHECO","AMBER RASMUSSEN","uwi","MARDI SIFUENTES"
"VI289","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","skipped"
"VI290","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI291","MARDI SIFUENTES","KRISTAL C. PRICE","NEF PACHECO","AMBER RASMUSSEN"
"VI292","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI293","MARDI SIFUENTES","KRISTAL C. PRICE","skipped","skipped"
"VI294","AMBER RASMUSSEN","MARDI SIFUENTES","skipped","skipped"
"VI295","AMBER RASMUSSEN","MARDI SIFUENTES","skipped","skipped"
"VI296","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","skipped"
"VI297","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI298","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI299","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI300","MARDI SIFUENTES","KRISTAL C. PRICE","AMBER RASMUSSEN","NEF PACHECO"
"VI301","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI302","AMBER RASMUSSEN","MARDI SIFUENTES","NEF PACHECO","skipped"
"VI303","KRISTAL C. PRICE","MARDI SIFUENTES","AMBER RASMUSSEN","NEF PACHECO"
"VI304","AMBER RASMUSSEN","NEF PACHECO","MARDI SIFUENTES","skipped"
"VI305","MARDI SIFUENTES","KRISTAL C. PRICE","skipped","skipped"
"VI306","KRISTAL C. PRICE","skipped","skipped","skipped"
